authorDisplayName,authorProfileImageUrl,likeCount,publishedAt,updatedAt,comment
Ben W,https://yt3.ggpht.com/ytc/AOPolaTxZJG-9A45I_O3KCnICFKqGEKPngAaERD0HA=s48-c-k-c0x00ffffff-no-rj,4828,2022-10-12T17:35:16Z,2022-10-12T17:35:16Z,"If you have 40-200 kids, it's not a homeschool, it's just another for-profit private school."
Sylven,https://yt3.ggpht.com/ytc/AOPolaRECLelxjhtYSobW2XpXm8HRdBxhFc3X1XgsRsO7HCGPBM0w8zO-3iQfhzkZgjj=s48-c-k-c0x00ffffff-no-rj,2418,2022-12-14T15:42:40Z,2022-12-14T15:42:40Z,I wish they had highlighted the many people who homeschool for non-religious and non-political reasons. There are a lot of us out there. My kids are awesome people. I enjoy spending time with them and allowing them the freedom to learn based on their interests and in a way they respond best. Sometimes homeschooling isn’t about making any religious or political statement; it’s about loving your children and desiring them to reach their best potential.
Colleen New Holy,https://yt3.ggpht.com/ytc/AOPolaS3Hv3DNoYi5_0Eo3pBrY-t9A2OvrfrMFk6nGpLJQ=s48-c-k-c0x00ffffff-no-rj,1161,2022-10-14T02:00:25Z,2022-10-14T02:00:25Z,"I was homeschooled, but my mother is a qualified educator. She was/is a teacher, a curriculum developer and was a deputy superintendent..We got an education that was almost on par with standard public school. So by the time we transitioned to public high school, we were able to just slide right on in..B U T..She never homeschooled us for a political/religious/conspiratorial reason.It was simply because the school on the Reservation I grew up on didn't have quality education. She got sick of the GENUINE educational neglect, and decided to take things into her own hands..These guys aren't even educated themselves 🤣"
Mayito,https://yt3.ggpht.com/ytc/AOPolaRhkjTjALqEhcwmxfCrrX81_W2IFb1dmVH1zhwa=s48-c-k-c0x00ffffff-no-rj,1020,2022-10-12T16:32:19Z,2022-10-12T16:32:19Z,"The greatest challenge of this world is knowing enough about a subject to think you are right, but not knowing enough about the subject to know you are wrong…"
chuckinator11,https://yt3.ggpht.com/ytc/AOPolaS95977hKYcpfb_9Ok7hKCvgUaz5fqnY8fXMdOq=s48-c-k-c0x00ffffff-no-rj,812,2022-10-15T03:39:02Z,2022-10-15T03:39:02Z,"I was homeschooled till grade 6, and it was amazing. I would be done my schoolwork by noon, and be outside playing till dinner every day. We had 3 month long summers because we were able to finish our semesters early, due to there being 3 kids for 1 teacher instead of 30 kids..We've expressed interest about homeschooling our kids to friends and family, reason being that we could give them a similar upbringing, not be tied down to a rigid schedule, or one place..But most of the people we've told get excited and start talking about how 'the world is getting so crazy nowadays', and I know they're excited because of the same reasons the people in this documentary have..Makes me feel gross knowing these people think I share their delusions about conspiracies and religious fervor, I just want my family to have a rad life"
Eliseo Rodríguez,https://yt3.ggpht.com/ytc/AOPolaTZ2jR4rh9qF2UnrBdyCFX_ngqvZi-FWr7lLw=s48-c-k-c0x00ffffff-no-rj,772,2022-10-12T19:16:09Z,2022-10-12T19:16:09Z,"There needs to be 10 year follow up video on these kids to see how they fared post-home school. I have a feeling it won’t turn out all that well. Most in this video are being home schooled for all the wrong reasons. If you have a good reason, it will stand up to criticism rather than retreating to their bubble."
Moon Dazed,https://yt3.ggpht.com/ytc/AOPolaTT0XDVKH6MgY9br7WEMv-bYWRVCQl3GVquYVyvbg=s48-c-k-c0x00ffffff-no-rj,708,2022-10-13T00:29:44Z,2022-10-13T00:29:44Z,"I have two sons, one in his early 30s and one in his early twenties. Both of them were home schooled for part of their education but not all of it. It was because I live in rural Virginia and the schools are much more regressive than the schools in Seattle where I moved from. There were a lot of discipline problems when my older son was in school, so he did middle school homeschooled and then went back to school for high school. My younger son is on the autism spectrum so I pulled him out after 6th grade and he finished school homeschooled. It was their choice, we did secular homeschooling, we did a lot of co-ops so they were around other children and I saw a lot of things that scared me. In the state where I live you can declare homeschooling for religious reasons and never have to show a test result. I saw kids that were woefully ignorant of common knowledge and I also saw two different occasions of abusers who didn't want their kids in school because counselors were asking too many questions. I think it's disgusting how children's education has been co-opted by the fear mongerers. at the very least someone who's homeschooling should have to test their child and they should have to pass a basic test for knowledge for their age."
Jordan Ellis,https://yt3.ggpht.com/ytc/AOPolaQXE16_Qy_O0KHl4DbyLFfkO2uqB_PiyW6nCIZqBg=s48-c-k-c0x00ffffff-no-rj,601,2022-10-28T13:52:09Z,2022-10-28T13:52:09Z,I think a lot of patents who had to help their kids with virtual learning during the pandemic realized they are capable of homeschooling. I think it's important to realize people pulling their kids out of public school is a symptom that public education in the USA is seriously flawed.
Si ❤️,https://yt3.ggpht.com/xZs2MlnAY1QkUDJkkPQUL37Ia7YSiE0-lMT98FPZIdCmZE3mmewFztPwpze3DKooQu0RyN9Ha1Y=s48-c-k-c0x00ffffff-no-rj,554,2022-10-16T13:59:31Z,2022-10-16T13:59:31Z,"I am a homeschooling parent. Not all homeschoolers are as politically driven as some of these people being interviewed. In fact, I wish it wasn’t portrayed as such a political weapon rather than a powerful tool in a child’s education. Homeschoolers can learn and move through curriculum at their own pace. They normally excel because they don’t have to compete with a large classroom for individualized instruction that fits their academic needs. I also love that I can teach my children more about their culture. At the same time I think it can be a disservice for the ones who pull their kids and decide to not teach them about other cultures all in the name of “CRT” (which is not taught in schools k-12 btw). Homeschooling is a powerful tool and as mentioned I will fight for my right to homeschool because I know that it is what is best for my children. But I don’t have the same reasons as some of these people. It actually makes me annoyed to hear these people pushing their political agendas on to these children. In my homeschool I teach my children. As they grow older and learn about politics they can decide their own political stance."
Kelsey Bordeaux,https://yt3.ggpht.com/ytc/AOPolaTbfADp6Pl-4j_tUyjwncAEjpb3YardXFOJDT1pKA=s48-c-k-c0x00ffffff-no-rj,541,2023-01-28T07:23:15Z,2023-05-24T22:04:48Z,"My Mom homeschooled me due to the fact that I had a learning Disability and the Public Schools didn't want to take the time to properly teach me,so they tried to sweep me under the Rug and pretend I didn't exist until she pulled me out and Taught me herself. I loved it! I was able to get the one on one teaching I NEEDED,I did other programs with other homeschooled children who later became my friends twice a week,I began to excel once we found a method that actually worked for me. I was always and will always be so grateful to my Parents for doing what they did,I wouldn't have changed a thing. I'm in my early 30's now,I graduated College,became a Welder for 3 years,a warehouse manager for 2,a CNA for 2 and now run my own Business. Homeschool is such an amazing tool for your child if done RIGHT."
Jesse Bruner,https://yt3.ggpht.com/ytc/AOPolaT207Je-AZPnJSnmbXyqqEn1GFStJMMbOjCfRY10w=s48-c-k-c0x00ffffff-no-rj,533,2022-10-12T18:28:40Z,2022-10-12T18:29:03Z,"I was homeschooled and loved it and plan on doing it for my kids. I've done extraordinarily well for myself and experienced first hand the benefits of the flexibility/1:1 to accommodate my apd. But I want to make something clear: the real dangers of homeschooling are parents who homeschool for non-educational reasons (crt, religion, political). However, as far as education goes, if done right, it is arguably better because you get a more customized curriculum for that student needs/strengths/weaknesses."
Casandra Reed,https://yt3.ggpht.com/ytc/AOPolaQ4Lblpv67QSVa5RXA8u2OhNhbfc46GEGSZVLk5dQ=s48-c-k-c0x00ffffff-no-rj,494,2022-10-12T17:41:38Z,2023-03-20T19:44:28Z,"It will be interesting to see the advanced level of education that these non teachers provide.  For the kids sake I truly hope their experiment sets these and others up for a life of success.  Personally, Finland has the highest quality of education in the world and everyone attends public schools.  Not to mention the economic privilege that people have to even consider a homeschool option."
